state,statePostal,district,office,last,first,key,party,performanceInPrimary,primaryDate,runoff,incumbent,is_incumbent
Florida,FL,27,U.S. House,Rodriguez Aguilera,Bettina,rodriguezaguilerabettina,Republican,LOSE,8/28/18,,Open,FALSE
Florida,FL,27,U.S. House,Sosa,Gina,sosagina,Republican,LOSE,8/28/18,,Open,FALSE
Georgia,GA,1,U.S. House,Ring,Lisa,ringlisa,Democratic,WIN,5/22/18,,Buddy Carter,FALSE
Georgia,GA,6,U.S. House,McBath,Lucy,mcbathlucy,Democratic,WIN,7/24/18,RUNOFF,Handel,FALSE
Georgia,GA,7,U.S. House,Bourdeaux,Carolyn,bourdeauxcarolyn,Democratic,WIN,7/24/18,RUNOFF,Woodall,FALSE
Georgia,GA,10,U.S. House,Johnson-Green,Tabitha,johnson-greentabitha,Democratic,WIN,5/22/18,,Jody Hice,FALSE
Georgia,GA,1,U.S. House,Seidman,Barbara,seidmanbarbara,Democratic,LOSE,5/22/18,,Buddy Carter,FALSE
Georgia,GA,7,U.S. House,Allen,Kathleen,allenkathleen,Democratic,LOSE,5/22/18,,Woodall,FALSE
Georgia,GA,7,U.S. House,Davis,Melissa,davismelissa,Democratic,LOSE,5/22/18,,Woodall,FALSE
Georgia,GA,6,U.S. House,Handel,Karen,handelkaren,Republican,WIN,5/22/18,,Handel,TRUE
Hawaii,HI,2,U.S. House,Gabbard,Tulsi,gabbardtulsi,Democratic,WIN,8/11/18,,Tulsi Gabbard,TRUE
Hawaii,HI,S,U.S. Senate,Hirono,Mazie,hironomazie,Democratic,WIN,8/11/18,,Mazie Hirono,TRUE
Hawaii,HI,1,U.S. House,Fukumoto,Beth Keiko,fukumotobethkeiko,Democratic,LOSE,8/11/18,,Open,FALSE
Hawaii,HI,1,U.S. House,Kim,Donna,kimdonna,Democratic,LOSE,8/11/18,,Open,FALSE
Hawaii,HI,2,U.S. House,Alu Campagna,Sherry,alucampagnasherry,Democratic,LOSE,8/11/18,,Tulsi Gabbard,FALSE
Hawaii,HI,S,U.S. Senate,Anderson,Consuelo,andersonconsuelo,Republican,LOSE,8/11/18,,Mazie Hirono,FALSE
Idaho,ID,1,U.S. House,McNeil,Cristina,mcneilcristina,Democratic,WIN,5/15/18,,Open,FALSE
Idaho,ID,1,U.S. House,Perry,Christy,perrychristy,Republican,LOSE,5/15/18,,Open,FALSE
Illinois,IL,2,U.S. House,Kelly,Robin,kellyrobin,Democratic,WIN,3/20/18,,Robin Kelly,TRUE
Illinois,IL,9,U.S. House,Schakowsky,Jan,schakowskyjan,Democratic,WIN,3/20/18,,Janice Schakowsky,TRUE
Illinois,IL,17,U.S. House,Bustos,Cheri,bustoscheri,Democratic,WIN,3/20/18,,Cheri Bustos,TRUE
Illinois,IL,13,U.S. House,Dirksen Londrigan,Betsy,dirksenlondriganbetsy,Democratic,WIN,3/20/18,,Davis,FALSE
Illinois,IL,14,U.S. House,Underwood,Lauren,underwoodlauren,Democratic,WIN,3/20/18,,Hultgren,FALSE
Illinois,IL,16,U.S. House,Dady,Sara,dadysara,Democratic,WIN,3/20/18,,Adam Kinzinger,FALSE
Illinois,IL,3,U.S. House,Newman,Marie,newmanmarie,Democratic,LOSE,3/20/18,,Daniel Lipinski,FALSE
Illinois,IL,4,U.S. House,Flores,Sol,floressol,Democratic,LOSE,3/20/18,,Open,FALSE
Illinois,IL,5,U.S. House,Mustafa,Sameena,mustafasameena,Democratic,LOSE,3/20/18,,Mike Quigley,FALSE
Illinois,IL,6,U.S. House,Anderson Wilkins,Becky,andersonwilkinsbecky,Democratic,LOSE,3/20/18,,Roskam,FALSE
Illinois,IL,6,U.S. House,Cheney,Carole,cheneycarole,Democratic,LOSE,3/20/18,,Roskam,FALSE
Illinois,IL,6,U.S. House,Howland,Amanda,howlandamanda,Democratic,LOSE,3/20/18,,Roskam,FALSE
Illinois,IL,6,U.S. House,Mazeski,Kelly,mazeskikelly,Democratic,LOSE,3/20/18,,Roskam,FALSE
Illinois,IL,6,U.S. House,Zordani,Jennifer,zordanijennifer,Democratic,LOSE,3/20/18,,Roskam,FALSE
Illinois,IL,13,U.S. House,Sides,Angel,sidesangel,Democratic,LOSE,3/20/18,,Davis,FALSE
Illinois,IL,16,U.S. House,Briel,Amy,brielamy,Democratic,LOSE,3/20/18,,Adam Kinzinger,FALSE
Illinois,IL,16,U.S. House,Vercolio-Osmund,Beth,vercolio-osmundbeth,Democratic,LOSE,3/20/18,,Adam Kinzinger,FALSE
Indiana,IN,3,U.S. House,Tritch,Courtney,tritchcourtney,Democratic,WIN,5/8/18,,Jim Banks,FALSE
Indiana,IN,4,U.S. House,Beck,Tobi,becktobi,Democratic,WIN,5/8/18,,Open,FALSE
Indiana,IN,5,U.S. House,Thornton,Dee,thorntondee,Democratic,WIN,5/8/18,,Susan Brooks,FALSE
Indiana,IN,6,U.S. House,Lake,Jeannine,lakejeannine,Democratic,WIN,5/8/18,,Open,FALSE
Indiana,IN,9,U.S. House,Watson,Liz,watsonliz,Democratic,WIN,5/8/18,,Trey Hollingsworth,FALSE
Indiana,IN,2,U.S. House,Hackett,Pat,hackettpat,Democratic,LOSE,5/8/18,,Walorski,FALSE
Indiana,IN,4,U.S. House,Ziol,Veronikka,ziolveronikka,Democratic,LOSE,5/8/18,,Open,FALSE
Indiana,IN,7,U.S. House,Spicer,Sue,spicersue,Democratic,LOSE,5/8/18,,Andr̩ Carson,FALSE
Indiana,IN,2,U.S. House,Walorski,Jackie,walorskijackie,Republican,WIN,5/8/18,,Walorski,TRUE
Indiana,IN,5,U.S. House,Brooks,Susan,brookssusan,Republican,WIN,5/8/18,,Susan Brooks,TRUE
Indiana,IN,1,U.S. House,Ivanovich,Roseann,ivanovichroseann,Republican,LOSE,5/8/18,,Peter Visclosky,FALSE
Indiana,IN,8,U.S. House,Covington,Rachel,covingtonrachel,Republican,LOSE,5/8/18,,Larry Bucshon,FALSE
Iowa,IA,1,U.S. House,Finkenauer,Abby,finkenauerabby,Democratic,WIN,6/5/18,,Blum,FALSE
Iowa,IA,3,U.S. House,Axne,Cindy,axnecindy,Democratic,WIN,6/5/18,,Young,FALSE
Iowa,IA,1,U.S. House,Rowe,Courtney,rowecourtney,Democratic,LOSE,6/5/18,,Blum,FALSE
Iowa,IA,4,U.S. House,Jacobsen,Leann,jacobsenleann,Democratic,LOSE,6/5/18,,Steve King,FALSE
Iowa,IA,4,U.S. House,Hanson,Cyndi,hansoncyndi,Republican,LOSE,6/5/18,,Steve King,FALSE
Kansas,KS,3,U.S. House,Davids,Sharice,davidssharice,Democratic,WIN,8/7/18,,Yoder,FALSE
Kansas,KS,3,U.S. House,Williams,Sylvia,williamssylvia,Democratic,LOSE,8/7/18,,Yoder,FALSE
Kansas,KS,4,U.S. House,Lombard,Laura,lombardlaura,Democratic,LOSE,8/7/18,,Ron Estes,FALSE
Kansas,KS,2,U.S. House,Tyson,Caryn,tysoncaryn,Republican,LOSE,8/7/18,,Open,FALSE
Kentucky,KY,6,U.S. House,McGrath,Amy,mcgrathamy,Democratic,WIN,5/22/18,,Barr,FALSE
Kentucky,KY,2,U.S. House,Sessions,Rane,sessionsrane,Democratic,LOSE,5/22/18,,Brett Guthrie,FALSE
Kentucky,KY,4,U.S. House,Lord,Christina,lordchristina,Democratic,LOSE,5/22/18,,Thomas Massie,FALSE
Kentucky,KY,4,U.S. House,Piatt,Patti,piattpatti,Democratic,LOSE,5/22/18,,Thomas Massie,FALSE
Kentucky,KY,3,U.S. House,Glisson,Vickie,glissonvickie,Republican,WIN,5/22/18,,John Yarmuth,FALSE
Kentucky,KY,3,U.S. House,Palazzo,Rhonda,palazzorhonda,Republican,LOSE,5/22/18,,John Yarmuth,FALSE
Louisiana,LA,1,U.S. House,Dugas,Lee Ann,dugasleeann,Democratic,AWAITING,11/6/18,,Steve Scalise,FALSE
Louisiana,LA,1,U.S. House,Savoie,Tammy,savoietammy,Democratic,AWAITING,11/6/18,,Steve Scalise,FALSE
Louisiana,LA,3,U.S. House,Methvin,Mimi,methvinmimi,Democratic,AWAITING,11/6/18,,Clay Higgins,FALSE
Louisiana,LA,6,U.S. House,Saizan,Andie,saizanandie,Democratic,AWAITING,11/6/18,,Garret Graves,FALSE
Maine,ME,1,U.S. House,Pingree,Chellie,pingreechellie,Democratic,WIN,6/12/18,,Chellie Pingree,TRUE
Maryland,MD,1,U.S. House,Galbraith,Allison,galbraithallison,Democratic,LOSE,6/26/18,,Andy Harris,FALSE
Maryland,MD,6,U.S. House,Hashimi,Nadia,hashiminadia,Democratic,LOSE,6/26/18,,Open,FALSE
Maryland,MD,6,U.S. House,Miller,Aruna,milleraruna,Democratic,LOSE,6/26/18,,Open,FALSE
Maryland,MD,8,U.S. House,Spring,Summer,springsummer,Democratic,LOSE,6/26/18,,Jamie Raskin,FALSE
Maryland,MD,S,U.S. Senate,Manning,Chelsea,manningchelsea,Democratic,LOSE,6/26/18,,Benjamin Cardin,FALSE
Maryland,MD,S,U.S. Senate,Morgan,Marcia,morganmarcia,Democratic,LOSE,6/26/18,,Benjamin Cardin,FALSE
Maryland,MD,S,U.S. Senate,Wilson,Debbie,wilsondebbie,Democratic,LOSE,6/26/18,,Benjamin Cardin,FALSE
Maryland,MD,S,U.S. Senate,Young,Lih,younglih,Democratic,LOSE,6/26/18,,Benjamin Cardin,FALSE
Maryland,MD,2,U.S. House,Matory,Liz,matoryliz,Republican,WIN,6/26/18,,Dutch Ruppersberger,FALSE
Maryland,MD,6,U.S. House,Hoeber,Amie,hoeberamie,Republican,WIN,6/26/18,,Open,FALSE
Maryland,MD,6,U.S. House,Lloyd,Lisa,lloydlisa,Republican,LOSE,6/26/18,,Open,FALSE
Maryland,MD,8,U.S. House,Cooper,Bridgette,cooperbridgette,Republican,LOSE,6/26/18,,Jamie Raskin,FALSE
Maryland,MD,S,U.S. Senate,Grigorian,Christina,grigorianchristina,Republican,LOSE,6/26/18,,Benjamin Cardin,FALSE
Massachusetts,MA,5,U.S. House,Clark,Katherine,clarkkatherine,Democratic,WIN,9/4/18,,Katherine Clark,TRUE
Massachusetts,MA,7,U.S. House,Pressley,Ayanna,pressleyayanna,Democratic,WIN,9/4/18,,Michael Capuano,FALSE
Massachusetts,MA,S,U.S. Senate,Warren,Elizabeth,warrenelizabeth,Democratic,WIN,9/4/18,,Elizabeth Warren,TRUE
Massachusetts,MA,1,U.S. House,Amatul-Wadud,Tahirah,amatul-wadudtahirah,Democratic,LOSE,9/4/18,,Richard Neal,FALSE
Massachusetts,MA,8,U.S. House,Wu,Brianna,wubrianna,Democratic,LOSE,9/4/18,,Stephen Lynch,FALSE
Massachusetts,MA,3,U.S. House,Chandler,Alexandra,chandleralexandra,Democratic,AWAITING,9/4/18,,Open,FALSE
Massachusetts,MA,3,U.S. House,L'Italien,Barbara,l'italienbarbara,Democratic,AWAITING,9/4/18,,Open,FALSE
Massachusetts,MA,3,U.S. House,Malone,Bopha,malonebopha,Democratic,AWAITING,9/4/18,,Open,FALSE
Massachusetts,MA,3,U.S. House,Matias,Juana,matiasjuana,Democratic,AWAITING,9/4/18,,Open,FALSE
Massachusetts,MA,3,U.S. House,Trahan,Lori,trahanlori,Democratic,AWAITING,9/4/18,,Open,FALSE
Massachusetts,MA,2,U.S. House,Lovvorn,Tracy,lovvorntracy,Republican,WIN,9/4/18,,James McGovern,FALSE
Massachusetts,MA,S,U.S. Senate,Lindstrom,Beth,lindstrombeth,Republican,LOSE,9/4/18,,Elizabeth Warren,FALSE
Michigan,MI,12,U.S. House,Dingell,Debbie,dingelldebbie,Democratic,WIN,8/7/18,,Debbie Dingell,TRUE
Michigan,MI,14,U.S. House,Lawrence,Brenda,lawrencebrenda,Democratic,WIN,8/7/18,,Brenda Lawrence,TRUE
Michigan,MI,3,U.S. House,Albro,Cathy,albrocathy,Democratic,WIN,8/7/18,,Justin Amash,FALSE
Michigan,MI,7,U.S. House,Driskell,Gretchen,driskellgretchen,Democratic,WIN,8/7/18,,Walberg,FALSE
Michigan,MI,8,U.S. House,Slotkin,Elissa,slotkinelissa,Democratic,WIN,8/7/18,,Bishop,FALSE
Michigan,MI,10,U.S. House,Bizon,Kimberly,bizonkimberly,Democratic,WIN,8/7/18,,Paul Mitchell,FALSE
Michigan,MI,11,U.S. House,Stevens,Haley,stevenshaley,Democratic,WIN,8/7/18,,Open,FALSE
Michigan,MI,13,U.S. House,Tlaib,Rashida,tlaibrashida,Democratic,WIN,8/7/18,,Vacant,FALSE
Michigan,MI,S,U.S. Senate,Stabenow,Debbie,stabenowdebbie,Democratic,WIN,8/7/18,,Debbie Stabenow,TRUE
Michigan,MI,9,U.S. House,Lipton,Ellen,liptonellen,Democratic,LOSE,8/7/18,,Open,FALSE
Michigan,MI,11,U.S. House,Saad,Fayrouz,saadfayrouz,Democratic,LOSE,8/7/18,,Open,FALSE
Michigan,MI,11,U.S. House,Skinner,Nancy,skinnernancy,Democratic,LOSE,8/7/18,,Open,FALSE
Michigan,MI,13,U.S. House,Jones,Brenda,jonesbrenda,Democratic,LOSE,8/7/18,,Vacant,FALSE
Michigan,MI,13,U.S. House,Jackson,Shanelle,jacksonshanelle,Democratic,LOSE,8/7/18,,Vacant,FALSE
Michigan,MI,9,U.S. House,Stearns,Candius,stearnscandius,Republican,WIN,8/7/18,,Open,FALSE
Michigan,MI,11,U.S. House,Epstein,Lena,epsteinlena,Republican,WIN,8/7/18,,Open,FALSE
Minnesota,MN,4,U.S. House,McCollum,Betty,mccollumbetty,Democratic,WIN,8/14/18,,Betty McCollum,TRUE
Minnesota,MN,2,U.S. House,Craig,Angie,craigangie,Democratic,WIN,8/14/18,,Lewis,FALSE
Minnesota,MN,5,U.S. House,Omar,Ilhan,omarilhan,Democratic,WIN,8/14/18,,Open,FALSE
Minnesota,MN,S,U.S. Senate,Klobuchar,Amy,klobucharamy,Democratic,WIN,8/14/18,,Amy Klobuchar,TRUE
Minnesota,MN,S,U.S. Senate,Smith,Tina,smithtina,Democratic,WIN,8/14/18,,Tina Smith,TRUE
Minnesota,MN,5,U.S. House,Anderson Kelliher,Margaret,andersonkellihermargaret,Democratic,LOSE,8/14/18,,Open,FALSE
Minnesota,MN,5,U.S. House,Torres Ray,Patricia,torresraypatricia,Democratic,LOSE,8/14/18,,Open,FALSE
Minnesota,MN,8,U.S. House,Kennedy,Kirsten,kennedykirsten,Democratic,LOSE,8/14/18,,Open,FALSE
Minnesota,MN,8,U.S. House,Lee,Michelle,leemichelle,Democratic,LOSE,8/14/18,,Open,FALSE
Minnesota,MN,5,U.S. House,Zielinski,Jennifer,zielinskijennifer,Republican,WIN,8/14/18,,Open,FALSE
Minnesota,MN,S,U.S. Senate,Housley,Karin,housleykarin,Republican,WIN,8/14/18,,Tina Smith,FALSE
Minnesota,MN,1,U.S. House,Nelson,Carla,nelsoncarla,Republican,LOSE,8/14/18,,Open,FALSE
Minnesota,MN,6,U.S. House,Kern,A.J.,kerna.j.,Republican,LOSE,8/14/18,,Tom Emmer,FALSE
Minnesota,MN,S,U.S. Senate,Hart Anderson,Rae,hartandersonrae,Republican,LOSE,8/14/18,,Tina Smith,FALSE
Mississippi,MS,S,U.S. Senate,Scott,Omeria,scottomeria,Democratic,LOSE,6/5/18,,Cindy Hyde-Smith,FALSE
Mississippi,MS,3,U.S. House,Doty,Sally,dotysally,Republican,LOSE,6/5/18,,Open,FALSE
Mississippi,MS,3,U.S. House,Dunn,Morgan,dunnmorgan,Republican,LOSE,6/5/18,,Open,FALSE
Mississippi,MS,3,U.S. House,Tate,Katherine,tatekatherine,Republican,LOSE,6/5/18,,Open,FALSE
Mississippi,MS,S,U.S. Senate,Hyde-Smith,Cindy,hyde-smithcindy,Republican,AWAITING,11/6/18,,Cindy Hyde-Smith,TRUE
Missouri,MO,3,U.S. House,Geppert,Katy,geppertkaty,Democratic,WIN,8/7/18,,Blaine Luetkemeyer,FALSE
Missouri,MO,4,U.S. House,Hoagenson,Renee,hoagensonrenee,Democratic,WIN,8/7/18,,Vicky Hartzler,FALSE
Missouri,MO,8,U.S. House,Ellis,Kathy,elliskathy,Democratic,WIN,8/7/18,,Jason Smith,FALSE
Missouri,MO,S,U.S. Senate,McCaskill,Claire,mccaskillclaire,Democratic,WIN,8/7/18,,Claire McCaskill,TRUE
Missouri,MO,1,U.S. House,Bush,Cori,bushcori,Democratic,LOSE,8/7/18,,Lacy Clay,FALSE
Missouri,MO,4,U.S. House,Thompson,Hallie,thompsonhallie,Democratic,LOSE,8/7/18,,Vicky Hartzler,FALSE
Missouri,MO,S,U.S. Senate,Earl,Angelica,earlangelica,Democratic,LOSE,8/7/18,,Claire McCaskill,FALSE
Missouri,MO,S,U.S. Senate,Wright,Carla,wrightcarla,Democratic,LOSE,8/7/18,,Claire McCaskill,FALSE
Missouri,MO,2,U.S. House,Wagner,Ann,wagnerann,Republican,WIN,8/7/18,,Wagner,TRUE
Missouri,MO,4,U.S. House,Hartzler,Vicky,hartzlervicky,Republican,WIN,8/7/18,,Vicky Hartzler,TRUE
Missouri,MO,1,U.S. House,Lombardi-Olive,Camille,lombardi-olivecamille,Republican,LOSE,8/7/18,,Lacy Clay,FALSE
Missouri,MO,2,U.S. House,Sachs,Noga,sachsnoga,Republican,LOSE,8/7/18,,Wagner,FALSE
Missouri,MO,5,U.S. House,Oaks,Richonda,oaksrichonda,Republican,LOSE,8/7/18,,Emanuel Cleaver,FALSE
Missouri,MO,S,U.S. Senate,Nichols,Kristi,nicholskristi,Republican,LOSE,8/7/18,,Claire McCaskill,FALSE
Missouri,MO,S,U.S. Senate,Smith,Christina,smithchristina,Republican,LOSE,8/7/18,,Claire McCaskill,FALSE
Montana,MT,1,U.S. House,Williams,Kathleen,williamskathleen,Democratic,WIN,6/5/18,,Gianforte,FALSE
Montana,MT,1,U.S. House,Moss,Lynda,mosslynda,Democratic,LOSE,6/5/18,,Gianforte,FALSE
Nebraska,NE,1,U.S. House,McClure,Jessica,mcclurejessica,Democratic,WIN,5/15/18,,Jeff Fortenberry,FALSE
Nebraska,NE,2,U.S. House,Eastman,Kara,eastmankara,Democratic,WIN,5/15/18,,Bacon,FALSE
Nebraska,NE,S,U.S. Senate,Raybould,Jane,raybouldjane,Democratic,WIN,5/15/18,,Deb Fischer,FALSE
Nebraska,NE,S,U.S. Senate,Fischer,Deb,fischerdeb,Republican,WIN,5/15/18,,Deb Fischer,TRUE
Nevada,NV,1,U.S. House,Titus,Dina,titusdina,Democratic,WIN,6/12/18,,Dina Titus,TRUE
Nevada,NV,3,U.S. House,Lee,Susie,leesusie,Democratic,WIN,6/12/18,,Open,FALSE
Nevada,NV,S,U.S. Senate,Rosen,Jacky,rosenjacky,Democratic,WIN,6/12/18,,Dean Heller,FALSE
Nevada,NV,4,U.S. House,Spearman,Pat,spearmanpat,Democratic,LOSE,6/12/18,,Open,FALSE
Nevada,NV,4,U.S. House,Stephens,Allison,stephensallison,Democratic,LOSE,6/12/18,,Open,FALSE
Nevada,NV,4,U.S. House,Vilela,Amy,vilelaamy,Democratic,LOSE,6/12/18,,Open,FALSE
Nevada,NV,1,U.S. House,Bentley,Joyce,bentleyjoyce,Republican,WIN,6/12/18,,Dina Titus,FALSE
Nevada,NV,2,U.S. House,Angle,Sharron,anglesharron,Republican,LOSE,6/12/18,,Mark Amodei,FALSE
Nevada,NV,3,U.S. House,Jones,Stephanie,jonesstephanie,Republican,LOSE,6/12/18,,Open,FALSE
Nevada,NV,3,U.S. House,Mortensen,Michelle,mortensenmichelle,Republican,LOSE,6/12/18,,Open,FALSE
Nevada,NV,3,U.S. House,Teijeiro,Annette,teijeiroannette,Republican,LOSE,6/12/18,,Open,FALSE
Nevada,NV,S,U.S. Senate,Brooks,Sherry,brookssherry,Republican,LOSE,6/12/18,,Dean Heller,FALSE
