date,time,headline,URL,teaser,section
10/9/2017,7:55 PM,How Russia Harvested American Rage to Reshape U.S. Politics,https://www.nytimes.com/2017/10/09/technology/russia-election-facebook-ads-rage.html?partner=rss&emc=rss,A Times examination of Russian-linked Facebook pages used in the 2016 election found that much of the content was taken directly from videos and posts from Americans.,NYT > Politics
10/10/2017,5:30 AM,The New Health Care: Doubtful Science Behind Arguments to Restrict Birth Control Access,https://www.nytimes.com/2017/10/10/upshot/doubtful-science-behind-arguments-to-restrict-birth-control-access.html?partner=rss&emc=rss,A Trump administration effort to weaken rules on health care coverage of contraception has raised legal questions. It should also raise medical ones.,NYT > Politics
10/10/2017,7:55 AM,Trump Threatens N.F.L. and Attacks Jemele Hill,https://www.nytimes.com/2017/10/10/us/politics/trump-nfl-jemele-hill.html?partner=rss&emc=rss,"In early Twitter posts, the president said Congress should eliminate a law allowing the N.F.L.’s central office to avoid paying taxes and said ESPN ratings have “tanked.”",NYT > Politics
10/10/2017,10:37 AM,"Trump Mocks Bob Corker’s Height, Escalating Feud with a Key Republican",https://www.nytimes.com/2017/10/10/us/politics/trump-corker-feud-tweet-liddle-bob.html?partner=rss&emc=rss,The president said that “Liddle Bob Corker” was “made to sound a fool” when the senator criticized Mr. Trump in an interview over the weekend.,NYT > Politics
10/10/2017,11:30 AM,"What Is the Clean Power Plan, and How Can Trump Repeal It?",https://www.nytimes.com/2017/10/10/climate/epa-clean-power-plan.html?partner=rss&emc=rss,"President Trump wants to scrap the Obama-era initiative. What will happen next, and how does this relate to the Paris climate agreement?",NYT > Politics
10/10/2017,2:21 PM,Kansas Tried a Tax Plan Similar to Trump’s. It Failed.,https://www.nytimes.com/2017/10/10/us/politics/kansas-tried-a-tax-plan-similar-to-trumps-it-failed.html?partner=rss&emc=rss,The state’s experiment with tax cuts on so-called pass-through entities did not heat up its economy — but did help some very rich people.,NYT > Politics
10/10/2017,2:42 PM,Ethics Chief ‘Deeply Concerned’ About Actions by Top Federal Officials,https://www.nytimes.com/2017/10/10/us/politics/federal-ethics-boss-trump-concerned.html?partner=rss&emc=rss,The acting head of Office of Government Ethics sent an unusual memo urging federal workers to remember to act honorably.,NYT > Politics
10/10/2017,2:56 PM,"In New Test for Obamacare, Iowa Seeks to Abandon Marketplace",https://www.nytimes.com/2017/10/10/health/obamacare-iowa-premiums.html?partner=rss&emc=rss,Its plan would give premium subsidies to well-off people but increase out-of-pocket costs for many with modest incomes. Other states could potentially follow.,NYT > Politics
10/10/2017,3:02 PM,"E.P.A. Says It Will Write a New Carbon Rule, but No One Can Say When",https://www.nytimes.com/2017/10/10/climate/epa-pruitt-climate-rule.html?partner=rss&emc=rss,Industry leaders and environmentalists both doubt the agency will move quickly to replace former President Obama’s Clean Power Plan with something new.,NYT > Politics
10/10/2017,4:18 PM,"At Benghazi Trial, C.I.A. Officers Recount Bloody Attack on Their Base",https://www.nytimes.com/2017/10/10/us/politics/benghazi-trial-cia-base-attack.html?partner=rss&emc=rss,"Wearing disguises in the courtroom, the C.I.A. officers described how their rescue team tried desperately to find the American ambassador and later came under mortar attack.",NYT > Politics
10/10/2017,4:21 PM,Niger Attack Lays Bare U.S. Troops’ Long Wait for Medical Help in Africa,https://www.nytimes.com/2017/10/10/world/africa/niger-attack-american-military-medical-evacuations.html?partner=rss&emc=rss,"The time frame for moving injured troops is much longer in Africa, where four were killed in an ambush last week, than in Iraq or Afghanistan, military officials said.",NYT > Politics
10/10/2017,6:23 PM,How Israel Caught Russian Hackers Scouring the World for U.S. Secrets,https://www.nytimes.com/2017/10/10/technology/kaspersky-lab-israel-russia-hacking.html?partner=rss&emc=rss,"Exploiting the popular Kaspersky antivirus software, Russian hackers searched millions of computers for American intelligence keywords. Israeli intelligence tipped off American officials.",NYT > Politics
10/10/2017,7:05 PM,Fact Check: Trump Misleadingly Blames Bob Corker for Iran Deal,https://www.nytimes.com/2017/10/10/us/politics/trump-corker-iran-deal.html?partner=rss&emc=rss,"President Trump said Senator Bob Corker “gave us” the Iran nuclear deal. Actually, Mr. Corker opposed it — and has the votes to prove it.",NYT > Politics
10/10/2017,7:36 PM,Melania Trump Says She Aims to ‘Give a Voice’ to the Victims of Opioids,https://www.nytimes.com/2017/10/10/us/politics/melania-trump-west-virginia-opioid-epidemic.html?partner=rss&emc=rss,The first lady’s visit to a clinic in West Virginia is a signal that her interests — so far stated broadly as helping children and combating cyberbullying — have narrowed.,NYT > Politics
10/10/2017,7:38 PM,"Disney, Hillary Clinton and the Obamas Condemn Weinstein",https://www.nytimes.com/2017/10/10/business/media/disney-hillary-clinton-and-the-obamas-condemn-weinstein.html?partner=rss&emc=rss,"Disney once owned Miramax, which Harvey Weinstein co-founded. Mr. Weinstein is also a longtime Democratic donor with ties to the Clintons and the Obamas.",NYT > Politics
10/10/2017,8:48 PM,Supreme Court Dismisses Appeal of Case on Expired Travel Ban,https://www.nytimes.com/2017/10/10/us/politics/trump-supreme-court-travel-ban.html?partner=rss&emc=rss,New limits on nine countries led the justices to remove the earlier case from their docket. Another case still being considered will probably also be dismissed.,NYT > Politics
10/11/2017,2:00 AM,MacArthur Foundation Names 2017 ‘Genius’ Grant Winners,https://www.nytimes.com/2017/10/11/arts/macarthur-genius-grants.html?partner=rss&emc=rss,"The MacArthur fellowship this year honors 24 artists, scholars, activists and others chosen for exceptional “originality, insight and potential.”",NYT > Politics
10/11/2017,3:00 AM,"On Washington: For Republicans, ‘Failure Is Not an Option’ on Tax Cuts",https://www.nytimes.com/2017/10/11/us/politics/for-republicans-tax-cuts.html?partner=rss&emc=rss,"After their health care debacle, Republicans acknowledge that an inability to deliver on taxes would be disastrous and set them up for a fierce backlash.",NYT > Politics
10/11/2017,5:00 AM,What Is It Like to Cover the Trump White House? Submit Your Questions,https://www.nytimes.com/2017/10/11/reader-center/trump-white-house-times-talk.html?partner=rss&emc=rss,"White House correspondents Maggie Haberman and Peter Baker will talk with Dean Baquet, our executive editor, on Thursday about covering the Trump administration.",NYT > Politics
10/11/2017,5:05 AM,"Military Is Waiting Longer Before Force-Feeding Hunger Strikers, Detainees Say",https://www.nytimes.com/2017/10/11/us/politics/guantanamo-hunger-strikes-force-feeding.html?partner=rss&emc=rss,The military appears to be letting protesters deteriorate past a point that once prompted medical attention. One lawyer called it a new strategy to stop the hunger strikes.,NYT > Politics
10/11/2017,7:06 AM,Eminem Lashes Out at Trump With Freestyle Rap Video,https://www.nytimes.com/2017/10/11/arts/music/eminem-donald-trump-bet.html?partner=rss&emc=rss,"The rapper accused President Trump of racism, hypocrisy, disrespect of military veterans and more in a video played at the BET Hip Hop Awards.",NYT > Politics
10/11/2017,7:50 AM,On the Runway: Melania Trump Wears First Lady Cred on Her Sleeve,https://www.nytimes.com/2017/10/11/fashion/melania-trump-cefinn-samantha-cameron.html?partner=rss&emc=rss,"On her trip to West Virginia, she wore a dress from Cefinn, the brand created by Samantha Cameron, wife of the former British prime minister.",NYT > Politics
10/11/2017,8:15 AM,"U.S. Helicopter Crashes on Okinawa, Adding to Safety Concerns",https://www.nytimes.com/2017/10/11/world/asia/us-helicopter-crash-okinawa.html?partner=rss&emc=rss,Residents of the area have been protesting the placement of landing pads near civilians.,NYT > Politics
10/11/2017,9:30 AM,I.M.F. Cautions Against Tax Cuts for Wealthy as Republicans Consider Them,https://www.nytimes.com/2017/10/11/us/politics/imf-tax-cuts.html?partner=rss&emc=rss,The International Monetary Fund said global leaders need to address income inequality or risk undermining economic growth.,NYT > Politics
10/11/2017,5:05 AM,"Pledge to Impeach Trump, a Key Donor Demands of Democrats",https://www.nytimes.com/2017/10/11/us/tom-steyer-trump-impeachment.html?partner=rss&emc=rss,"Tom Steyer, a prominent liberal backer, called on Democratic lawmakers to remove Mr. Trump from office if they take control of Congress in 2018.",NYT > Politics
10/11/2017,10:31 AM,"Ehud Barak, Israeli Hawk and No Friend of Iran, Urges Trump to Keep Nuclear Deal",https://www.nytimes.com/2017/10/11/us/politics/trump-ehud-barak-iran-nuclear-deal.html?partner=rss&emc=rss,"Mr. Barak, Israel’s former leader and defense chief, does not want Mr. Trump to decertify the deal — a step the president is expected to take.",NYT > Politics
10/11/2017,11:48 AM,Tom Hanks: Confirm or Deny,https://www.nytimes.com/2017/10/11/style/tom-hanks-confirm-or-deny.html?partner=rss&emc=rss,The actor is convinced that typewriters are making a comeback.,NYT > Politics
10/11/2017,11:54 AM,"With...Tom Hanks: Hollywood’s Most Decent Fella on Harvey, Trump and History",https://www.nytimes.com/2017/10/11/style/tom-hanks-uncommon-type-harvey-weinstein-donald-trump.html?partner=rss&emc=rss,"As accusations rain on a kingpin of his industry, the actor known for his American hero roles begins a tour for his wide-eyed book of short stories.",NYT > Politics
10/11/2017,12:37 PM,"The Shift: We Asked Facebook 12 Questions About the Election, and Got 5 Answers",https://www.nytimes.com/2017/10/11/technology/facebook-election.html?partner=rss&emc=rss,"Facebook responded to some questions about its role in the 2016 presidential election, and its plans to safeguard its platform in the future.",NYT > Politics
10/11/2017,2:02 PM,Trump’s Tough Talk on Nafta Raising Fears of Pact’s Demise,https://www.nytimes.com/2017/10/11/business/economy/nafta-trump.html?partner=rss&emc=rss,The president has long talked about scrapping Nafta. Even skeptics are starting to believe him.,NYT > Politics
10/11/2017,1:52 PM,Trump Threatens NBC Over Nuclear Weapons Report,https://www.nytimes.com/2017/10/11/us/politics/trump-nbc-fcc-broadcast-license.html?partner=rss&emc=rss,The president said he might use the power of the federal government to retaliate by challenging broadcast licenses.,NYT > Politics
10/11/2017,2:34 PM,"Fed Still Puzzled by Inflation, but Rate Increase Is on Track",https://www.nytimes.com/2017/10/11/business/economy/federal-reserve-minutes.html?partner=rss&emc=rss,"Slow inflation was the main topic at the Federal Reserve’s last policy meeting, but most officials leaned toward another interest rate move this year.",NYT > Politics
10/11/2017,2:51 PM,White House Aide Is Selected to Run Homeland Security Department,https://www.nytimes.com/2017/10/11/us/politics/kirstjen-nielsen-homeland-security-secretary.html?partner=rss&emc=rss,"President Trump’s choice, Kirstjen Nielsen, is at top aide to his chief of staff, John F. Kelly. Some White House aides had chafed at her regimented style.",NYT > Politics
10/11/2017,4:16 PM,California Winds Are Fueling Fires. It May Be Getting Worse.,https://www.nytimes.com/2017/10/11/climate/caifornia-fires-wind.html?partner=rss&emc=rss,"Some scientists think global warming may be making California’s autumn winds even drier, a “key parameter for fire risk.”",NYT > Politics
10/11/2017,6:31 PM,Conservatives Want to Make Mitch McConnell the Symbol of a Toxic Washington,https://www.nytimes.com/2017/10/11/us/politics/conservatives-mitch-mcconnell.html?partner=rss&emc=rss,"Republicans, who made Nancy Pelosi into a successful boogeyman for their base, are now trying the same tactic with one of their own: Mitch McConnell, the Senate majority leader.",NYT > Politics
10/11/2017,7:25 PM,"Foiled in Congress, Trump Moves on His Own to Undermine Obamacare",https://www.nytimes.com/2017/10/11/us/politics/trump-obamacare-executive-order.html?partner=rss&emc=rss,President Trump is expected to issue an order on Thursday to allow the sale of health insurance plans that are exempt from some Affordable Care Act rules.,NYT > Politics
10/11/2017,8:29 PM,Growing Chorus Confronts Trump Against Leaving Nuclear Deal,https://www.nytimes.com/2017/10/11/world/middleeast/trump-iran-nuclear-deal.html?partner=rss&emc=rss,Even those in Congress who did not support the 2015 accord to limit Tehran’s nuclear program warn against spooking allies by leaving it now.,NYT > Politics
10/11/2017,9:22 PM,"In Pennsylvania, Trump Hunts for Democratic Support for Tax Plan",https://www.nytimes.com/2017/10/11/us/politics/trump-democrats-tax-plan.html?partner=rss&emc=rss,"The president said his plan will benefit the middle class, but Pennsylvania’s senior senator, a Democrat, called it a giveaway to wealthy Americans.",NYT > Politics
10/12/2017,5:00 AM,"House Democrats Can’t Impeach Trump, but They’re Willing to Try",https://www.nytimes.com/2017/10/12/us/politics/impeachment-trump-green-sherman.html?partner=rss&emc=rss,Articles of impeachment against President Trump reached the House floor on Wednesday. They weren’t the first and will not be the last.,NYT > Politics
10/12/2017,8:41 AM,Trump Warns Puerto Rico Weeks After Storms: Federal Help Cannot Stay ‘Forever’,https://www.nytimes.com/2017/10/12/us/politics/trump-warns-puerto-rico-weeks-after-storms-federal-help-cannot-stay-forever.html?partner=rss&emc=rss,The president says the island bears some of the blame for its current crisis and that “we cannot keep” federal troops and recovery workers there “forever.”,NYT > Politics
10/12/2017,8:29 AM,Militants Free American Woman and Family Held for 5 Years in Afghanistan,https://www.nytimes.com/2017/10/12/us/politics/militants-free-american-woman-and-family-held-for-5-years-in-afghanistan.html?partner=rss&emc=rss,"An American woman, her Canadian husband and three children were held for five years in Afghanistan by a Taliban faction, the Haqqani network.",NYT > Politics
10/12/2017,9:42 AM,"U.S. Will Withdraw From Unesco, Citing Its ‘Anti-Israel Bias’",https://www.nytimes.com/2017/10/12/us/politics/trump-unesco-withdrawal.html?partner=rss&emc=rss,"The Trump administration said the withdrawal, which is effective at the end of 2018, is also over a “need for fundamental reform” at the cultural organization.",NYT > Politics
10/12/2017,11:48 AM,"Foiled in Congress, Trump Signs Order to Undermine Obamacare",https://www.nytimes.com/2017/10/12/us/politics/trump-obamacare-executive-order-health-insurance.html?partner=rss&emc=rss,President Trump issued an order on Thursday to allow the sale of health insurance plans that are exempt from some Affordable Care Act coverage rules.,NYT > Politics
10/12/2017,1:34 PM,N.F.L. Players May Have an Ally in Their Protests: Labor Law,https://www.nytimes.com/2017/10/12/business/economy/nfl-players-kneeling-national-anthem-labor-laws.html?partner=rss&emc=rss,"In a debate over how far workers can go in banding together without retribution by their employers, many experts say showing solidarity is a legal right.",NYT > Politics
10/12/2017,2:52 PM,"Kim Davis, Once Jailed in America, Campaigns Against Gay Marriage in Romania",https://www.nytimes.com/2017/10/12/world/europe/kim-davis-romania.html?partner=rss&emc=rss,"Her trip was organized by Liberty Counsel, a conservative research group that represented her when she was held in 2015 for contempt of court.",NYT > Politics
10/12/2017,3:15 PM,"In Speech to Truckers, Trump Hinted at Hostage Release",https://www.nytimes.com/2017/10/12/us/politics/trump-militants-hostage-release.html?partner=rss&emc=rss,"The night before their release was announced, President Trump teased the pending freedom of an American woman and her family who were held hostage for five years.",NYT > Politics
10/12/2017,3:27 PM,House Approves $36.5 Billion Hurricane and Wildfire Aid Package,https://www.nytimes.com/2017/10/12/us/politics/house-congress-disaster-relief-hurricanes-wildfires.html?partner=rss&emc=rss,"The relief package is the second installment of aid passed by lawmakers to respond to this year’s hurricanes, and much more money will still be needed.",NYT > Politics
10/12/2017,3:55 PM,Fact Check: Trump Makes Puzzling Claim That Rising Stock Market Erases Debt,https://www.nytimes.com/2017/10/12/us/politics/trump-stock-market-national-debt-fact-check.html?partner=rss&emc=rss,"The president’s comments, which do not reflect reality, come as Republicans are pushing a tax plan that experts say could add more to the debt.",NYT > Politics
10/12/2017,5:42 PM,"Tech Giants, Once Seen as Saviors, Are Now Viewed as Threats",https://www.nytimes.com/2017/10/12/technology/tech-giants-threats.html?partner=rss&emc=rss,American tech companies positioned themselves as entities that brought positive change by connecting people and spreading information. Perceptions are shifting.,NYT > Politics
10/12/2017,6:11 PM,Trump’s Attacks on the Press: Telling Escalation From Empty Threats,https://www.nytimes.com/2017/10/12/business/media/trump-news-media-attacks.html?partner=rss&emc=rss,Old hands like Bob Schieffer and Russell Baker take the president’s words with a grain of salt. Others are not so sure.,NYT > Politics
10/12/2017,6:14 PM,Watch Live: Times Journalists on Covering the Trump White House,/video/us/politics/100000005492879/new-york-times-dean-baquet-trump.html?partner=rss&emc=rss,"Dean Baquet, the executive editor of The New York Times, joins the White House correspondents Maggie Haberman and Peter Baker in a TimesTalk about covering President Trump. The Times’s media columnist, Jim Rutenberg, will moderate.",NYT > Politics
